x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
946128,115458,140043,879641,96112,137513
946128,145458,80043,894591,116458,69824
946128,145458,110043,889581,117106,101028
946128,145458,140043,877266,122310,130575
946128,175458,80043,891644,146115,65972
946128,175458,110043,886812,145847,96160
946128,205458,50043,878149,181460,36959
946128,205458,80043,883254,176831,64214
916128,85458,140043,849469,71333,142914
916128,115458,50043,849145,89689,42907
916128,115458,80043,855656,88827,74588
916128,115458,110043,856868,89194,105901
916128,115458,140043,848453,96006,135107
916128,115458,170043,840920,105245,167648
916128,145458,20043,840827,125543,14511
916128,145458,50043,853201,119023,36531
916128,145458,80043,860326,117282,66256
916128,145458,110043,857727,116498,97544
916128,145458,140043,844002,121672,125772
916128,145458,170043,836384,130037,159355
916128,175458,20043,838279,159096,14086
916128,175458,50043,850353,151966,36863
916128,175458,80043,858765,147656,62550
916128,175458,110043,855196,146449,90929
916128,175458,140043,841057,149325,118331
916128,205458,20043,832793,191719,11501
916128,205458,50043,841156,185577,36641
916128,205458,80043,851293,180599,61790
916128,205458,110043,850450,178885,88058
916128,205458,140043,840772,179582,115351
886128,85458,50043,812833,68213,58539
886128,85458,80043,815909,69181,88607
886128,85458,110043,818706,66935,116118
886128,85458,140043,817984,73976,142534
886128,115458,20043,807283,96168,23348
886128,115458,50043,810672,95101,51056
886128,115458,80043,816972,95796,79754
886128,115458,110043,819624,93318,107340
886128,115458,140043,815826,98177,134611
886128,115458,170043,812485,108505,168856
886128,145458,20043,805243,127706,22335
886128,145458,50043,810925,124510,45659
886128,145458,80043,817960,122598,69934
886128,145458,110043,820315,120251,97883
886128,145458,140043,812280,121853,125016
886128,145458,170043,806788,131795,157502
886128,175458,20043,804084,162918,18994
886128,175458,50043,812027,158779,43283
886128,175458,80043,819219,154205,63925
886128,175458,110043,819496,149163,89471
886128,175458,140043,810271,150028,114778
886128,175458,170043,802608,156919,144254
886128,205458,20043,801065,197025,11519
886128,205458,50043,808845,192757,37630
886128,205458,80043,815326,187060,64212
886128,205458,110043,818525,181932,87360
886128,205458,140043,809299,182510,110878
886128,235458,80043,807998,222116,61096
886128,235458,110043,812681,215568,85841
856128,85458,80043,784904,68574,94154
856128,85458,110043,787503,69796,119646
856128,85458,140043,788116,79702,143042
856128,85458,170043,788845,89048,173310
856128,115458,50043,777490,97148,59302
856128,115458,80043,781003,97280,88522
856128,115458,110043,784712,96409,112931
856128,115458,140043,786123,102764,136459
856128,115458,170043,786686,111584,167985
856128,115458,200043,785894,114389,206096
856128,145458,20043,772868,128335,28485
856128,145458,50043,774873,126694,55565
856128,145458,80043,777996,125321,79236
856128,145458,110043,783780,123690,104558
856128,145458,140043,781622,124818,127679
856128,145458,170043,779767,134308,156182
856128,145458,200043,779822,141932,194376
856128,175458,20043,772409,164426,28855
856128,175458,50043,777992,161878,52429
856128,175458,80043,782809,159722,71411
856128,175458,110043,785058,155807,93592
856128,175458,140043,779783,154546,117292
856128,175458,170043,775158,161996,142810
856128,205458,20043,769927,198345,18578
856128,205458,50043,776928,197431,41452
856128,205458,80043,781244,193536,66115
856128,205458,110043,783290,188666,90369
856128,205458,140043,777435,188628,110057
856128,205458,170043,771287,191400,135538
856128,235458,80043,778262,230402,59015
856128,235458,110043,779087,224332,85594
826128,55458,140043,764030,54748,152294
826128,85458,80043,756783,66460,97859
826128,85458,110043,759365,68772,122690
826128,85458,140043,760781,81862,145466
826128,85458,170043,762055,91200,173668
826128,85458,200043,761510,93263,206383
826128,115458,50043,749660,97844,64040
826128,115458,80043,752383,95532,94355
826128,115458,110043,754586,95861,118692
826128,115458,140043,756304,106548,140146
826128,115458,170043,761654,114276,168346
826128,115458,200043,761180,115340,203310
826128,145458,50043,744548,126761,61670
826128,145458,80043,748091,125974,88984
826128,145458,110043,751600,125210,112549
826128,145458,140043,753934,132277,132000
826128,145458,170043,756163,136829,157776
826128,145458,200043,755010,140813,193747
826128,175458,20043,740976,165459,35282
826128,175458,50043,745172,160573,61202
826128,175458,80043,748231,161301,81793
826128,175458,110043,752579,160413,102045
826128,175458,140043,750605,161598,120490
826128,175458,170043,748655,166747,143441
826128,175458,200043,750390,176085,179375
826128,205458,20043,738465,198571,24695
826128,205458,50043,744114,198569,48747
826128,205458,80043,749184,198048,70730
826128,205458,110043,752764,193977,92363
826128,205458,140043,747566,195506,111905
826128,205458,170043,744376,198577,135103
826128,235458,80043,745748,233698,60785
826128,235458,110043,748584,229678,85656
826128,235458,140043,747469,229357,108255
796128,85458,110043,732278,68192,126628
796128,85458,140043,735802,82729,151108
796128,85458,170043,735107,93256,177641
796128,85458,200043,731964,96105,206875
796128,115458,80043,725935,95637,99199
796128,115458,110043,726671,94760,124687
796128,115458,140043,727859,107770,146616
796128,115458,170043,732096,116183,172836
796128,115458,200043,731351,117102,204631
796128,145458,50043,717130,127569,64909
796128,145458,80043,721648,126498,93417
796128,145458,110043,722814,125188,117382
796128,145458,140043,723178,134648,138725
796128,145458,170043,727670,140116,166399
796128,145458,200043,725688,139500,200388
796128,175458,50043,714160,159828,65800
796128,175458,80043,718254,161781,86887
796128,175458,110043,720648,162155,107590
796128,175458,140043,719679,166838,127622
796128,175458,170043,721300,169831,151796
796128,175458,200043,723769,172408,184630
796128,205458,50043,710477,196439,56893
796128,205458,80043,715897,199519,76950
796128,205458,110043,719433,197747,97609
796128,205458,140043,717005,199777,116323
796128,205458,170043,717766,205428,139106
796128,235458,80043,711009,235645,65850
796128,235458,110043,718023,231284,89999
796128,235458,140043,718255,231769,111214
766128,85458,140043,705680,82118,156339
766128,85458,170043,701996,94483,183316
766128,85458,200043,697019,97327,210086
766128,115458,80043,699644,98833,99779
766128,115458,110043,696236,98519,130044
766128,115458,140043,697293,109699,155971
766128,115458,170043,697918,119196,184475
766128,115458,200043,692808,122933,212261
766128,145458,80043,693281,127034,93475
766128,145458,110043,691063,128201,123763
766128,145458,140043,693035,136423,148852
766128,145458,170043,694797,141907,176866
766128,145458,200043,690704,146020,207170
766128,175458,50043,683408,158944,66355
766128,175458,80043,688073,157957,90218
766128,175458,110043,691086,162770,112821
766128,175458,140043,690451,169080,134023
766128,175458,170043,692433,170145,161209
766128,175458,200043,692224,169747,195909
766128,205458,50043,676984,196785,64614
766128,205458,80043,684003,199288,84566
766128,205458,110043,691132,199071,103285
766128,205458,140043,690468,201342,123173
766128,205458,170043,690199,208024,147115
766128,205458,200043,692494,209501,181893
766128,235458,80043,676728,237305,71667
766128,235458,110043,685545,234790,95925
766128,235458,140043,688304,232566,118372
736128,85458,110043,673353,74006,129985
736128,85458,140043,670664,80832,154501
736128,85458,170043,665926,94697,181358
736128,85458,200043,664076,99202,207436
736128,85458,230043,661428,102803,236430
736128,115458,80043,673225,105717,101268
736128,115458,110043,668108,102641,129652
736128,115458,140043,666509,111576,155227
736128,115458,170043,662591,122236,180454
736128,115458,200043,659409,126973,209362
736128,115458,230043,658377,129110,242758
736128,145458,80043,665594,132472,92998
736128,145458,110043,664822,132986,125263
736128,145458,140043,664941,140596,153793
736128,145458,170043,660736,147943,179707
736128,145458,200043,660270,150219,210571
736128,145458,230043,659826,155256,245420
736128,175458,80043,656435,160187,91046
736128,175458,110043,661029,163587,117058
736128,175458,140043,660702,169241,142292
736128,175458,170043,660569,173531,170494
736128,175458,200043,661649,177239,201643
736128,205458,80043,652340,196742,89174
736128,205458,110043,660356,199238,107819
736128,205458,140043,660872,200779,128427
736128,205458,170043,659957,207192,157153
736128,235458,80043,649157,235551,79948
736128,235458,110043,657313,236116,100596
706128,85458,110043,643397,74532,126854
706128,85458,140043,636905,78967,152502
706128,85458,170043,633171,90532,178667
706128,85458,200043,632588,97767,203721
706128,85458,230043,630391,104067,233022
706128,115458,80043,639920,108452,99698
706128,115458,110043,635904,104466,127358
706128,115458,140043,634319,109215,152139
706128,115458,170043,632052,120408,177411
706128,115458,200043,631678,126325,206119
706128,115458,230043,629021,131320,237888
706128,115458,260043,627764,134688,270501
706128,145458,80043,633226,136907,94530
706128,145458,110043,632106,136692,122926
706128,145458,140043,632571,141073,151052
706128,145458,170043,631636,148709,178297
706128,145458,200043,630940,151622,208171
706128,145458,230043,630333,155904,241573
706128,175458,80043,627213,166554,90594
706128,175458,110043,629898,167128,117524
706128,175458,140043,631690,171168,144602
706128,175458,170043,628327,176308,172318
706128,175458,200043,630411,179591,204164
706128,175458,230043,632202,182603,238084
706128,205458,80043,624348,198052,89049
706128,205458,110043,629468,197789,112287
706128,205458,140043,630332,201927,135448
706128,205458,170043,629231,207330,163565
706128,235458,80043,621479,233117,85461
706128,235458,110043,627929,232788,107676
676128,85458,80043,626287,82934,91474
676128,85458,110043,617452,78197,120611
676128,85458,140043,608905,80560,150469
676128,85458,170043,604324,86425,177909
676128,85458,200043,603733,91661,204888
676128,85458,230043,600512,97924,233474
676128,115458,80043,612151,111038,92005
676128,115458,110043,605528,108151,121620
676128,115458,140043,602915,109870,148933
676128,115458,170043,600136,118520,175636
676128,115458,200043,598580,122752,204223
676128,115458,230043,596751,126729,234528
676128,115458,260043,596012,129665,267569
676128,145458,50043,605407,142173,63316
676128,145458,80043,602029,141664,91014
676128,145458,110043,599270,139981,120265
676128,145458,140043,599076,141166,148021
676128,145458,170043,598536,147026,175104
676128,145458,200043,598148,149807,203144
676128,145458,230043,599467,153081,236285
676128,145458,260043,598701,156193,267687
676128,175458,50043,595699,171534,62230
676128,175458,80043,595569,171097,89647
676128,175458,110043,596681,170082,118533
676128,175458,140043,598202,171561,145077
676128,175458,170043,597848,174689,172971
676128,175458,200043,599984,179272,201394
676128,175458,230043,600583,180228,233503
676128,205458,80043,594238,199683,88929
676128,205458,110043,596269,199318,115558
676128,205458,140043,598536,203000,140523
676128,205458,170043,598251,206208,168361
676128,235458,80043,591950,231296,86749
676128,235458,110043,597696,232822,112838
676128,235458,140043,599765,235322,137458
646128,55458,140043,602407,57836,151411
646128,85458,110043,594971,86075,115210
646128,85458,140043,583420,86395,151026
646128,85458,170043,577138,85409,182376
646128,85458,200043,575672,85919,208738
646128,85458,230043,572635,87748,233112
646128,115458,50043,594165,115429,58805
646128,115458,80043,587822,115846,85512
646128,115458,110043,577839,116629,114440
646128,115458,140043,571544,115451,146765
646128,115458,170043,570381,117326,177206
