x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
833686,195853,222007,839935,222614,177749
833686,195853,242007,844633,221697,197447
833686,215853,202007,832953,242508,158898
833686,215853,222007,837203,241625,176563
833686,215853,242007,843697,240882,199622
833686,235853,202007,830908,261186,157449
833686,235853,222007,834352,260368,173776
833686,235853,242007,839456,260112,192857
833686,255853,182007,830366,278805,140527
833686,255853,202007,830307,278795,157812
833686,255853,222007,835159,280280,172432
833686,255853,242007,835588,280417,189866
833686,255853,262007,844059,279418,209012
833686,275853,182007,829478,296355,140666
833686,275853,202007,830253,295876,159857
833686,275853,222007,835831,298266,176298
833686,275853,242007,839452,298850,195200
833686,275853,262007,844944,298998,212699
833686,295853,202007,831137,314749,160474
833686,295853,222007,836748,317863,177613
833686,295853,242007,840518,318322,197631
813686,175853,222007,821816,202703,177256
813686,175853,242007,826748,200483,195191
813686,195853,182007,817065,221256,141027
813686,195853,202007,816439,222093,161661
813686,195853,222007,820285,220425,179667
813686,195853,242007,827643,218735,203474
813686,215853,182007,813263,240563,142967
813686,215853,202007,815514,239775,160583
813686,215853,222007,818377,239221,182341
813686,215853,242007,827254,238022,206137
813686,235853,182007,812693,258414,142320
813686,235853,202007,813843,258435,161794
813686,235853,222007,814279,257935,184537
813686,235853,242007,823579,258536,200053
813686,235853,262007,835969,258475,221775
813686,255853,182007,811889,276395,142806
813686,255853,202007,811716,276558,164213
813686,255853,222007,811097,276396,184095
813686,255853,242007,817078,277263,198836
813686,255853,262007,835696,280434,216422
813686,275853,162007,813860,295094,122450
813686,275853,182007,810727,293907,144965
813686,275853,202007,813507,296009,162123
813686,275853,222007,814432,295120,182240
813686,275853,242007,814745,293282,201155
813686,275853,262007,828726,298620,219200
813686,295853,182007,811830,311393,145733
813686,295853,202007,815609,314120,163101
813686,295853,222007,817917,315684,180230
813686,295853,242007,817044,313316,201237
813686,295853,262007,822826,315457,221341
813686,315853,182007,814926,332351,142212
813686,315853,202007,815067,332669,163019
813686,315853,222007,820084,335828,181847
813686,315853,242007,822263,336768,201495
813686,315853,262007,824297,335902,219034
813686,335853,202007,817726,353634,159742
813686,335853,222007,821708,355994,178238
813686,335853,242007,822223,355685,199040
793686,155853,222007,807401,178869,175750
793686,175853,182007,799227,201215,141512
793686,175853,202007,799721,202316,161016
793686,175853,222007,803530,199623,177812
793686,175853,242007,810408,195109,199653
793686,195853,162007,798162,218792,121659
793686,195853,182007,795750,219963,144395
793686,195853,202007,795068,220550,169003
793686,195853,222007,800289,219430,187051
793686,195853,242007,807829,217206,203351
793686,215853,162007,797043,237547,121497
793686,215853,182007,794595,238569,146602
793686,215853,202007,792923,239431,173465
793686,215853,222007,798453,238241,188967
793686,215853,242007,809105,237352,202898
793686,215853,262007,816566,236806,216592
793686,235853,162007,796045,255934,123176
793686,235853,182007,795571,256187,145535
793686,235853,202007,792389,257316,172559
793686,235853,222007,797641,256137,186982
793686,235853,242007,805854,257119,202834
793686,235853,262007,818435,257115,218981
793686,255853,162007,795574,275129,122211
793686,255853,182007,792948,273202,150645
