x,y,z,x_sym,y_sym,z_sym
532200,115853,80000,530113,115786,82631
532200,115853,100000,526786,115907,101298
532200,135853,40000,537088,136575,44932
532200,135853,60000,535038,136012,62041
532200,135853,80000,529698,135149,82472
532200,135853,100000,528360,134232,100686
532200,135853,120000,522589,134931,120524
532200,155853,40000,537467,153209,43507
532200,155853,60000,532461,155049,62043
532200,155853,80000,529837,154784,81695
532200,155853,100000,528235,154070,101486
532200,155853,120000,524172,155352,120726
532200,155853,140000,518786,155540,140991
532200,175853,40000,535591,172925,42975
532200,175853,60000,531243,173673,61228
532200,175853,80000,533127,175338,83519
532200,175853,100000,531592,174897,101983
532200,175853,120000,524741,175658,120528
532200,175853,140000,520477,175888,140454
532200,175853,160000,515887,175538,160260
532200,195853,60000,533199,191439,59573
532200,195853,100000,532440,194679,102312
532200,195853,120000,528630,193989,122479
532200,195853,160000,517716,196003,160160
532200,215853,100000,528538,214139,103170
532200,215853,120000,525305,213506,122353
532200,215853,160000,518666,215376,161173
532200,295853,80000,527375,294599,81994
532200,295853,100000,526512,295099,101690
532200,295853,120000,525186,294930,121052
532200,295853,140000,523546,296103,140451
532200,295853,160000,520847,294931,161464
532200,295853,180000,518798,295565,180634
532200,315853,60000,532246,314348,62505
532200,315853,80000,532608,314675,82979
532200,315853,100000,531008,316525,103410
532200,315853,120000,528100,315818,121535
532200,315853,140000,525414,316310,140490
532200,315853,160000,522416,314835,161778
532200,315853,180000,519151,315123,180908
532200,315853,200000,516653,315587,200886
532200,335853,60000,534998,333737,63948
532200,335853,80000,536263,335881,84716
532200,335853,100000,534669,335106,102629
532200,335853,120000,531614,337517,120310
532200,335853,140000,526157,334468,140782
532200,335853,160000,522953,334487,160871
532200,335853,180000,521998,334134,181065
532200,355853,120000,534357,353462,120666
532200,355853,140000,528034,354669,139256
552200,95853,80000,543155,95458,84365
552200,95853,100000,541094,95227,103797
552200,115853,60000,550797,113561,68338
552200,115853,80000,548587,112828,87513
552200,115853,100000,544123,111883,105423
552200,115853,120000,539615,113981,123346
552200,135853,40000,553228,133731,47023
552200,135853,60000,552136,133740,66888
552200,135853,80000,548587,132688,86054
552200,135853,100000,547645,132157,103299
552200,135853,120000,541137,132798,124102
552200,135853,140000,537017,132851,143662
552200,155853,20000,554010,152019,29315
552200,155853,40000,554048,152178,46062
552200,155853,60000,551449,152465,65070
552200,155853,80000,549361,153506,85463
552200,155853,100000,547958,152798,105105
552200,155853,120000,543450,152704,124656
552200,155853,140000,537815,154370,143601
552200,155853,160000,534626,153931,164256
552200,175853,20000,553473,170441,30440
552200,175853,40000,553720,171651,45165
552200,175853,60000,552495,171372,63600
552200,175853,80000,551744,172784,82423
552200,175853,100000,551176,172400,105609
552200,175853,120000,545369,173635,123763
552200,175853,140000,539339,174780,145114
552200,175853,160000,534738,174367,166031
552200,195853,40000,554028,189231,46724
552200,195853,60000,553851,192145,62767
552200,195853,80000,554324,191676,84492
552200,195853,100000,551709,192840,106884
552200,195853,120000,545675,193115,125471
552200,195853,140000,540222,194500,144908
552200,195853,160000,535623,195048,163815
552200,195853,180000,534709,193849,185913
552200,215853,40000,551677,204649,48174
552200,215853,60000,549687,207746,69142
552200,215853,80000,548598,211592,89297
552200,215853,100000,548328,214107,107871
552200,215853,120000,544598,213238,125655
552200,215853,140000,540980,214418,144248
552200,215853,160000,537926,214772,164515
552200,215853,180000,535658,214268,187173
552200,235853,20000,548231,229002,30362
552200,235853,40000,542017,227897,51355
552200,235853,60000,543434,230137,71402
552200,235853,100000,545294,233438,107328
552200,235853,120000,542375,233518,125298
552200,235853,140000,540006,234686,145834
552200,235853,160000,537234,234149,164138
552200,255853,20000,548040,248230,32104
552200,255853,40000,543527,247554,53606
552200,255853,60000,541445,250750,71002
552200,255853,80000,542811,251632,90310
552200,255853,100000,542146,252650,107247
552200,255853,120000,539960,253141,124120
552200,255853,140000,538696,252439,145026
552200,255853,160000,538516,252757,162576
552200,275853,20000,550501,269372,30171
552200,275853,40000,547356,269341,51027
552200,275853,60000,544028,270881,66842
552200,275853,80000,542098,271761,85018
552200,275853,100000,543073,273514,103917
552200,275853,120000,543982,275028,121440
552200,275853,140000,541183,273797,141667
552200,275853,160000,539019,275743,162314
552200,295853,60000,548431,289680,64639
552200,295853,80000,547361,290826,84460
552200,295853,100000,546893,293347,105945
552200,295853,120000,544130,293305,123472
552200,295853,140000,541606,295411,143124
552200,295853,160000,539206,295004,163071
552200,295853,180000,537600,294125,184610
552200,295853,200000,538211,291877,207437
552200,315853,40000,553356,311221,48589
552200,315853,60000,553259,309240,65699
552200,315853,80000,551774,311317,85917
552200,315853,100000,548632,313200,104902
552200,315853,120000,546250,314623,124336
552200,315853,140000,543196,314365,141321
552200,315853,160000,541153,310815,163443
552200,315853,180000,538227,311524,185955
552200,315853,200000,537542,311991,204302
552200,315853,220000,539865,309967,229079
552200,335853,60000,554357,331307,66775
552200,335853,80000,554540,331569,85300
552200,335853,100000,553917,332351,103980
552200,335853,120000,549958,336327,122445
552200,335853,140000,545302,333136,143368
552200,335853,160000,542683,332386,162139
552200,335853,180000,538670,331545,183391
552200,355853,120000,551651,353540,122532
552200,355853,140000,548280,354822,141016
552200,355853,160000,544498,353444,160527
572200,95853,80000,561215,92205,84795
572200,95853,100000,560054,90746,105358
572200,95853,120000,557377,91418,126402
572200,115853,60000,565198,114504,66717
572200,115853,80000,566561,112733,91469
572200,115853,100000,564322,111234,108433
572200,115853,120000,559568,110981,127152
572200,115853,140000,555619,110816,147199
572200,135853,40000,569858,132129,47598
572200,135853,60000,567675,131064,69258
572200,135853,80000,565704,130195,88041
572200,135853,100000,564808,131538,108249
572200,135853,120000,559649,130499,128779
572200,135853,140000,554988,130150,146295
572200,155853,40000,572019,151772,47954
572200,155853,60000,569542,151060,69894
572200,155853,80000,568275,150673,89145
572200,155853,100000,566753,150857,107736
572200,155853,120000,562145,151381,127474
572200,155853,140000,556710,151976,147532
572200,155853,160000,553368,152245,166826
572200,175853,20000,571489,170185,28907
572200,175853,40000,573125,170755,48869
572200,175853,60000,572531,169770,68379
572200,175853,80000,571193,169633,88290
572200,175853,100000,571673,170388,106676
572200,175853,120000,564535,171947,127536
572200,175853,140000,558238,173188,148199
572200,175853,160000,555628,173292,168270
572200,195853,40000,573070,188600,48856
572200,195853,60000,572729,190657,72005
572200,195853,80000,571176,191206,90933
572200,195853,100000,571872,191252,110232
572200,195853,120000,564957,192342,129332
572200,195853,140000,559334,192899,148988
572200,195853,160000,557042,192630,167665
572200,195853,180000,554874,193561,186870
572200,215853,20000,570012,204710,31618
572200,215853,40000,572381,208037,59235
572200,215853,60000,571904,209708,74608
572200,215853,80000,572573,211858,90541
572200,215853,100000,568462,214702,109514
572200,215853,120000,564743,212575,129604
572200,215853,140000,561040,213070,147736
572200,215853,160000,558521,210960,167112
572200,215853,180000,557057,212627,187670
572200,215853,200000,555107,214042,205783
572200,235853,20000,569471,226749,33938
572200,235853,40000,567368,227077,51304
572200,235853,60000,568151,230115,73414
572200,235853,80000,569543,231645,93569
572200,235853,100000,568940,231788,111220
572200,235853,120000,564001,233203,128563
572200,235853,140000,560860,235152,148337
572200,235853,160000,558872,233398,167915
572200,235853,180000,557553,233745,189226
572200,255853,20000,566402,246698,32299
572200,255853,40000,564149,247924,54308
