flywire_x,flywire_y,flywire_z,mcns_x,mcns_y,mcns_z
172200.0,215853.0,160000.0,43865.441,216410.05899999998,223953.852
172200.0,215853.0,200000.0,35880.511,218648.398,261855.16100000002
172200.0,255853.0,160000.0,44895.587,266018.28,229221.657
172200.0,255853.0,200000.0,35704.016,268698.40699999995,264996.714
172200.0,255853.0,240000.0,25425.566,270842.719,297795.048
172200.0,295853.0,160000.0,47433.395,316081.191,235692.282
172200.0,295853.0,200000.0,38165.354,318841.853,270087.724
172200.0,335853.0,160000.0,50618.795,365095.223,240060.916
172200.0,375853.0,160000.0,51796.189,413295.951,239627.86800000002
172200.0,415853.0,120000.0,54687.736000000004,458712.90599999996,196584.64599999998
172200.0,415853.0,160000.0,51968.536,461141.525,236838.202
212200.0,175853.0,160000.0,83303.398,160622.717,218209.772
212200.0,175853.0,200000.0,76581.512,162113.10499999998,258865.018
212200.0,175853.0,240000.0,66244.58099999999,164776.538,295211.125
212200.0,215853.0,160000.0,82591.235,210462.775,219864.24099999998
212200.0,215853.0,200000.0,74505.681,212864.05,260405.354
212200.0,215853.0,240000.0,62338.897000000004,215007.348,295631.512
212200.0,255853.0,160000.0,80386.481,262240.95399999997,223803.978
212200.0,255853.0,200000.0,71798.462,265040.955,262527.948
212200.0,255853.0,240000.0,61509.462,266856.95900000003,297277.59099999996
212200.0,295853.0,120000.0,87060.999,310477.814,188949.564
212200.0,295853.0,160000.0,81662.973,314396.738,230356.967
212200.0,295853.0,200000.0,73350.819,317256.913,267355.793
212200.0,295853.0,240000.0,65296.418000000005,318552.311,301893.822
212200.0,335853.0,120000.0,91607.236,360543.879,195476.756
212200.0,335853.0,200000.0,79048.93400000001,367146.744,273532.462
212200.0,335853.0,240000.0,71899.96399999999,367954.668,307782.923
212200.0,375853.0,120000.0,94689.371,409681.93200000003,198251.087
252200.0,175853.0,200000.0,115957.92,156854.627,258356.651
252200.0,175853.0,240000.0,106578.27500000001,158860.31600000002,298345.153
252200.0,215853.0,120000.0,122813.385,206427.93399999998,172722.35499999998
252200.0,215853.0,160000.0,122054.632,208037.451,217426.81999999998
252200.0,215853.0,200000.0,115504.64700000001,209299.032,261075.13999999998
252200.0,215853.0,240000.0,103063.189,209758.872,300789.76
252200.0,255853.0,120000.0,122443.629,257615.862,177379.59100000001
252200.0,255853.0,160000.0,120310.521,260474.92299999998,221014.773
252200.0,255853.0,200000.0,113479.421,262267.132,263430.944
252200.0,255853.0,240000.0,102255.213,262913.646,302827.469
252200.0,295853.0,160000.0,121157.67700000001,312833.511,226729.571
252200.0,295853.0,200000.0,114175.276,315441.874,267601.88399999996
252200.0,295853.0,240000.0,105558.766,316411.313,306723.48099999997
252200.0,335853.0,160000.0,125320.511,364297.91699999996,232501.69199999998
252200.0,335853.0,200000.0,118529.38799999999,366812.33200000005,272798.829
252200.0,335853.0,240000.0,111694.27,367125.82800000004,311374.167
252200.0,375853.0,200000.0,124105.262,415635.006,276708.294
292200.0,135853.0,200000.0,154018.07,106764.639,260564.159
292200.0,175853.0,160000.0,156891.602,158256.658,216888.109
292200.0,175853.0,200000.0,153295.099,156274.143,261292.332
292200.0,175853.0,240000.0,148060.724,155106.944,304660.956
292200.0,215853.0,120000.0,159479.324,208454.464,174170.99899999998
292200.0,215853.0,160000.0,157081.408,209525.589,217607.78300000002
292200.0,215853.0,200000.0,153112.57499999998,207991.747,261879.012
292200.0,215853.0,240000.0,146647.808,205805.432,305805.544
292200.0,255853.0,120000.0,160354.331,257775.934,178457.373
292200.0,255853.0,160000.0,157866.89,260432.39899999998,220755.38499999998
292200.0,255853.0,200000.0,153922.582,260373.82100000003,263708.881
292200.0,255853.0,240000.0,147049.91999999998,259371.554,306783.65400000004
292200.0,255853.0,280000.0,140442.004,259713.95200000002,347316.468
292200.0,295853.0,120000.0,164233.51299999998,308438.304,183562.913
292200.0,295853.0,160000.0,161359.84199999998,312433.536,226516.804
292200.0,295853.0,200000.0,156038.21300000002,314119.399,269226.14900000003
292200.0,295853.0,240000.0,148826.77000000002,314122.33099999995,310983.163
292200.0,335853.0,160000.0,166492.34100000001,364122.771,231314.581
292200.0,335853.0,200000.0,159489.59199999998,366180.248,274968.059
292200.0,335853.0,240000.0,152163.547,366642.251,316433.09900000005
292200.0,375853.0,200000.0,164074.366,415142.374,278327.311
332200.0,135853.0,160000.0,195546.732,111077.724,223257.263
332200.0,135853.0,200000.0,195244.441,108491.46,265451.886
332200.0,175853.0,120000.0,196465.612,163306.77399999998,177291.218
332200.0,175853.0,160000.0,196796.37099999998,161516.56900000002,223096.478
332200.0,175853.0,200000.0,194901.978,157774.18800000002,267400.90300000005
332200.0,175853.0,240000.0,191354.11500000002,154162.538,309214.97
332200.0,215853.0,120000.0,198639.173,209350.191,178098.284
332200.0,215853.0,160000.0,196935.33,210206.989,223633.59600000002
332200.0,215853.0,200000.0,193240.891,207847.99899999998,268629.435
332200.0,215853.0,240000.0,189963.12,204129.157,310910.198
332200.0,255853.0,120000.0,200772.638,254811.09900000002,183723.23
332200.0,255853.0,160000.0,196769.54200000002,258494.02500000002,228168.95299999998
332200.0,255853.0,200000.0,193167.847,258801.375,271481.769
332200.0,255853.0,240000.0,189849.363,256534.653,313283.936
332200.0,255853.0,280000.0,184506.228,256135.399,352796.29099999997
332200.0,295853.0,120000.0,204442.388,305340.562,188786.498
332200.0,295853.0,160000.0,199932.374,310737.312,233636.706
332200.0,295853.0,200000.0,195607.451,311457.636,277009.17500000005
332200.0,295853.0,240000.0,190734.16,309705.456,318107.415
332200.0,335853.0,160000.0,207096.49899999998,360815.78500000003,236401.298
332200.0,335853.0,200000.0,199930.48799999998,361061.619,281426.29
332200.0,335853.0,240000.0,192633.731,360781.07999999996,322600.407
372200.0,95853.0,160000.0,232853.946,63836.68,228869.88400000002
372200.0,135853.0,120000.0,231901.54,115463.531,183466.393
372200.0,135853.0,160000.0,233893.068,111624.498,226526.163
372200.0,135853.0,200000.0,235548.702,108007.523,266715.22
372200.0,175853.0,120000.0,233869.537,162699.221,179860.75199999998
372200.0,175853.0,160000.0,236634.904,159523.91199999998,226620.536
372200.0,175853.0,200000.0,236762.15,155318.408,269874.017
372200.0,215853.0,80000.0,236696.90399999998,205737.46,139890.229
372200.0,215853.0,120000.0,238558.196,205708.272,181737.305
372200.0,215853.0,160000.0,238948.938,204934.645,228774.04
372200.0,215853.0,200000.0,234837.91400000002,203699.475,273932.479
372200.0,215853.0,240000.0,229385.19199999998,202082.146,313479.461
372200.0,255853.0,80000.0,242164.39299999998,250704.642,146434.24899999998
372200.0,255853.0,120000.0,242961.093,249806.476,187472.315
372200.0,255853.0,160000.0,242762.94322679465,245452.91718273662,233392.37015168444
372200.0,255853.0,200000.0,233776.107,253715.45599999998,278224.86199999996
372200.0,255853.0,240000.0,228662.357,252908.24599999998,317522.47
372200.0,295853.0,120000.0,245819.34699999998,300126.571,192943.70799999998
372200.0,295853.0,160000.0,241874.505,304134.75,239082.07200000001
372200.0,295853.0,200000.0,236359.39099999997,304910.906,282596.99
372200.0,295853.0,240000.0,231005.082,303334.711,322331.24700000003
372200.0,335853.0,200000.0,241150.991,353375.62200000003,285304.615
412200.0,95853.0,120000.0,273934.223,67995.874,193127.168
412200.0,95853.0,160000.0,272187.745,63013.636,233075.638
405834.17766282824,144218.63509896444,91280.22016411499,262650.48402960895,128846.13261141957,147403.23332382238
412200.0,135853.0,120000.0,273107.99100000004,115312.703,186621.13400000002
412200.0,135853.0,160000.0,272650.499,111033.25200000001,229535.307
412200.0,135853.0,200000.0,274107.62899999996,105734.51,268468.389
412200.0,175853.0,80000.0,274952.466,160067.78499999997,138801.549
412200.0,175853.0,120000.0,275200.107,160747.46099999998,182878.10400000002
412200.0,175853.0,160000.0,274884.866,156998.876,229856.165
412200.0,175853.0,200000.0,275615.179,151909.39800000002,271812.394
412200.0,215853.0,40000.0,272983.358,202030.61500000002,108251.01
412200.0,215853.0,80000.0,277515.268,203312.21099999998,144472.348
412200.0,215853.0,120000.0,279203.899,203496.798,185264.361
412200.0,215853.0,160000.0,278675.411,201542.46699999998,233223.181
412200.0,215853.0,200000.0,276540.344,199384.34,276893.12
412200.0,255853.0,40000.0,276841.594,248973.256,112023.345
412200.0,255853.0,80000.0,280520.357,249879.862,150168.80599999998
412200.0,255853.0,120000.0,281682.178,248905.118,190120.34600000002
412200.0,255853.0,160000.0,281263.55,247654.542,235903.054
412200.0,255853.0,200000.0,277591.142,247505.672,279573.898
412200.0,295853.0,80000.0,284662.097,297258.859,153373.526
412200.0,295853.0,120000.0,283467.76,297460.261,194308.542
412200.0,295853.0,160000.0,282191.413,297697.164,237634.783
412200.0,295853.0,200000.0,278907.66500000004,297903.38200000004,281019.24100000004
452200.0,95853.0,80000.0,316737.94700000004,70726.663,152063.78100000002
452200.0,95853.0,120000.0,314754.733,68625.653,194961.093
452200.0,95853.0,160000.0,311659.25399999996,64361.64599999999,235738.09900000002
452200.0,135853.0,80000.0,318327.408,114560.253,146046.795
452200.0,135853.0,120000.0,316221.52999999997,116029.172,189266.01299999998
452200.0,135853.0,160000.0,312541.724,111843.093,232913.796
452200.0,135853.0,200000.0,311954.63999999996,105504.018,272762.548
452200.0,175853.0,40000.0,316087.794,153745.08,109650.48
452200.0,175853.0,80000.0,318620.428,157526.98,145195.094
452200.0,175853.0,120000.0,317922.396,160243.514,186473.27300000002
452200.0,175853.0,160000.0,314607.49700000003,156983.69400000002,234493.799
452200.0,175853.0,200000.0,314097.34400000004,151546.454,276212.94899999996
452200.0,215853.0,40000.0,312456.321,200100.304,114382.553
452200.0,215853.0,80000.0,316162.664,201594.563,148988.831
452200.0,215853.0,120000.0,318083.83400000003,202903.075,189895.678
452200.0,215853.0,160000.0,317676.86,201703.255,240286.57200000001
452200.0,215853.0,200000.0,317505.312,199090.713,282642.20999999996
452200.0,255853.0,40000.0,314405.0,247834.61500000002,113399.997
452200.0,255853.0,80000.0,315777.504,248909.50900000002,150882.432
452200.0,255853.0,120000.0,317165.343,249321.183,193057.21600000001
452200.0,255853.0,160000.0,319240.84900000005,248602.133,241906.647
452200.0,255853.0,200000.0,320052.022,246577.565,285863.69
452200.0,295853.0,40000.0,322340.569,294501.537,112755.58
452200.0,295853.0,80000.0,321345.349,296323.757,152421.09600000002
452200.0,295853.0,120000.0,319324.23699999996,297548.926,194352.559
452200.0,295853.0,160000.0,319264.43,297422.541,239649.932
452200.0,295853.0,200000.0,319631.846,295873.90499999997,284537.223
452200.0,335853.0,80000.0,327642.002,342792.39400000003,154291.48799999998
452200.0,335853.0,120000.0,323748.947,346128.34400000004,194958.56399999998
452200.0,335853.0,160000.0,320622.158,347020.263,237799.945
452200.0,335853.0,200000.0,319293.317,345783.94100000005,283189.69
