x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
873686,175853,180000,-165410,163849,204985
873686,195853,180000,-166627,183806,205075
873686,215853,160000,-169622,203699,185297
873686,215853,180000,-167845,203762,205166
873686,215853,200000,-166068,203826,225034
873686,235853,160000,-170839,223656,185387
873686,235853,180000,-169063,223719,205256
873686,235853,200000,-167286,223782,225124
873686,235853,220000,-165509,223845,244993
873686,255853,160000,-172057,243613,185477
873686,255853,180000,-170280,243676,205346
873686,255853,200000,-168503,243739,225214
873686,255853,220000,-166727,243802,245083
873686,255853,240000,-164950,243865,264951
873686,275853,140000,-175051,263506,165699
873686,275853,160000,-173274,263569,185567
873686,275853,180000,-171498,263632,205436
873686,275853,200000,-169721,263696,225304
873686,275853,220000,-167944,263759,245173
873686,275853,240000,-166168,263822,265041
873686,295853,140000,-176268,283463,165789
873686,295853,160000,-174492,283526,185657
873686,295853,180000,-172715,283589,205526
873686,295853,200000,-170939,283652,225394
873686,295853,220000,-169162,283716,245263
873686,315853,140000,-177486,303420,165879
873686,315853,160000,-175709,303483,185748
873686,335853,140000,-178704,323376,165969
873686,335853,160000,-176927,323439,185838
873686,355853,140000,-179921,343333,166059
873686,355853,160000,-178145,343396,185928
873686,375853,140000,-181139,363290,166149
873686,375853,160000,-179362,363353,186018
873686,395853,120000,-184133,383183,146371
873686,395853,140000,-182356,383246,166239
873686,415853,120000,-185350,403140,146461
873686,415853,140000,-183574,403203,166330
873686,415853,160000,-181797,403266,186198
853686,175853,180000,-185235,162433,207933
853686,195853,160000,-188229,182326,188154
853686,195853,180000,-186453,182390,208023
853686,195853,200000,-184676,182453,227891
853686,195853,220000,-182899,182516,247760
853686,215853,160000,-189447,202283,188244
853686,215853,180000,-187670,202346,208113
853686,215853,200000,-185894,202409,227981
853686,215853,220000,-184117,202473,247850
853686,215853,240000,-182340,202536,267718
853686,235853,140000,-192441,222177,168466
853686,235853,160000,-190664,222240,188334
853686,235853,180000,-188888,222303,208203
853686,235853,200000,-187111,222366,228071
853686,235853,220000,-185334,222429,247940
853686,235853,240000,-183558,222493,267809
853686,255853,140000,-193659,242133,168556
853686,255853,160000,-191882,242197,188425
853686,255853,180000,-190105,242260,208293
853686,255853,200000,-188329,242323,228162
853686,255853,220000,-186552,242386,248030
853686,255853,240000,-184775,242449,267899
853686,275853,140000,-194876,262090,168646
853686,275853,160000,-193100,262153,188515
853686,275853,180000,-191323,262216,208383
853686,275853,200000,-189546,262280,228252
853686,275853,220000,-187770,262343,248120
853686,275853,240000,-185993,262406,267989
853686,295853,140000,-196094,282047,168736
853686,295853,160000,-194317,282110,188605
853686,295853,180000,-192540,282173,208473
853686,295853,200000,-190764,282236,228342
853686,295853,220000,-188987,282299,248210
853686,295853,240000,-187211,282363,268079
853686,315853,140000,-197311,302004,168826
853686,315853,160000,-195535,302067,188695
853686,315853,200000,-191981,302193,228432
853686,315853,220000,-190205,302256,248300
853686,315853,240000,-188428,302319,268169
853686,335853,120000,-200306,321897,149048
853686,335853,140000,-198529,321960,168916
853686,355853,120000,-201523,341854,149138
853686,355853,140000,-199746,341917,169007
853686,375853,120000,-202741,361810,149228
853686,375853,140000,-200964,361874,169097
853686,395853,120000,-203958,381767,149318
853686,395853,140000,-202182,381830,169187
853686,415853,120000,-205176,401724,149408
853686,415853,140000,-203399,401787,169277
833686,175853,160000,-206837,160954,191011
833686,175853,180000,-205060,161017,210880
833686,175853,200000,-203284,161080,230748
833686,175853,220000,-201507,161143,250617
833686,175853,240000,-199730,161206,270485
833686,195853,140000,-209831,180847,171233
833686,195853,160000,-208055,180910,191102
833686,195853,180000,-206278,180974,210970
833686,195853,200000,-204501,181037,230839
833686,195853,220000,-202725,181100,250707
833686,195853,240000,-200948,181163,270576
833686,215853,140000,-211049,200804,171323
833686,215853,160000,-209272,200867,191192
833686,215853,180000,-207495,200930,211060
833686,215853,200000,-205719,200993,230929
833686,215853,220000,-203942,201057,250797
833686,215853,240000,-202165,201120,270666
833686,215853,260000,-200389,201183,290534
833686,235853,140000,-212266,220761,171413
833686,235853,160000,-210490,220824,191282
833686,235853,180000,-208713,220887,211150
833686,235853,200000,-206936,220950,231019
833686,235853,220000,-205160,221013,250887
833686,235853,240000,-203383,221076,270756
833686,235853,260000,-201606,221140,290624
833686,255853,140000,-213484,240717,171503
833686,255853,160000,-211707,240781,191372
833686,255853,180000,-209931,240844,211240
833686,255853,200000,-208154,240907,231109
833686,255853,220000,-206377,240970,250977
833686,255853,240000,-204601,241033,270846
833686,255853,260000,-202824,241096,290714
833686,275853,120000,-216478,260611,151725
833686,275853,140000,-214701,260674,171593
833686,275853,160000,-212925,260737,191462
833686,275853,180000,-211148,260800,211331
833686,275853,200000,-209371,260864,231199
833686,275853,220000,-207595,260927,251068
833686,275853,240000,-205818,260990,270936
833686,275853,260000,-204041,261053,290805
833686,295853,120000,-217696,280568,151815
833686,295853,140000,-215919,280631,171684
833686,295853,160000,-214142,280694,191552
833686,295853,180000,-212366,280757,211421
833686,295853,200000,-210589,280820,231289
833686,295853,220000,-208812,280883,251158
833686,295853,240000,-207036,280947,271026
833686,295853,260000,-205259,281010,290895
833686,315853,120000,-218913,300524,151905
833686,315853,140000,-217136,300587,171774
833686,315853,160000,-215360,300651,191642
833686,315853,180000,-213583,300714,211511
833686,315853,200000,-211807,300777,231379
833686,315853,220000,-210030,300840,251248
833686,315853,240000,-208253,300903,271116
833686,315853,260000,-206477,300967,290985
833686,335853,120000,-220131,320481,151995
833686,335853,140000,-218354,320544,171864
833686,335853,180000,-214801,320671,211601
833686,335853,200000,-213024,320734,231469
833686,335853,220000,-211247,320797,251338
833686,335853,240000,-209471,320860,271206
833686,355853,120000,-221348,340438,152085
833686,355853,140000,-219572,340501,171954
833686,375853,120000,-222566,360394,152175
813686,175853,140000,-228439,159474,174090
813686,175853,160000,-226662,159538,193959
813686,175853,180000,-224885,159601,213827
813686,175853,200000,-223109,159664,233696
813686,175853,220000,-221332,159727,253564
813686,175853,240000,-219556,159790,273433
813686,195853,140000,-229656,179431,174180
813686,195853,160000,-227880,179494,194049
813686,195853,180000,-226103,179558,213917
813686,195853,200000,-224326,179621,233786
813686,195853,220000,-222550,179684,253654
813686,195853,240000,-220773,179747,273523
813686,195853,260000,-218997,179810,293391
813686,215853,140000,-230874,199388,174270
813686,215853,160000,-229097,199451,194139
813686,215853,180000,-227321,199514,214008
813686,215853,200000,-225544,199577,233876
813686,215853,220000,-223767,199641,253745
813686,215853,240000,-221991,199704,273613
813686,215853,260000,-220214,199767,293482
813686,235853,120000,-233868,219281,154492
813686,235853,140000,-232092,219345,174361
813686,235853,160000,-230315,219408,194229
813686,235853,180000,-228538,219471,214098
813686,235853,200000,-226762,219534,233966
813686,235853,220000,-224985,219597,253835
813686,235853,240000,-223208,219660,273703
