x,y,z,x_sym,y_sym,z_sym
532200,55853,120000,1566174,18431,197891
532200,55853,140000,1564398,18494,217760
532200,75853,120000,1567392,38387,197981
532200,75853,140000,1565615,38451,217850
532200,75853,160000,1563839,38514,237718
532200,95853,60000,1573940,58155,138466
532200,95853,80000,1572163,58218,158334
532200,95853,100000,1570386,58281,178203
532200,95853,120000,1568610,58344,198071
532200,95853,140000,1566833,58407,217940
532200,95853,160000,1565056,58470,237808
532200,115853,40000,1576934,78048,118687
532200,115853,60000,1575157,78111,138556
532200,115853,80000,1573380,78174,158424
532200,115853,100000,1571604,78238,178293
532200,115853,120000,1569827,78301,198161
532200,115853,140000,1568051,78364,218030
532200,115853,160000,1566274,78427,237898
532200,135853,40000,1578151,98005,118777
532200,135853,60000,1576375,98068,138646
532200,135853,80000,1574598,98131,158514
532200,135853,100000,1572821,98194,178383
532200,135853,120000,1571045,98257,198251
532200,135853,140000,1569268,98321,218120
532200,135853,160000,1567491,98384,237988
532200,155853,40000,1579369,117962,118867
532200,155853,60000,1577592,118025,138736
532200,155853,80000,1575816,118088,158604
532200,155853,100000,1574039,118151,178473
532200,155853,120000,1572262,118214,198342
532200,155853,140000,1570486,118277,218210
532200,155853,160000,1568709,118341,238079
532200,155853,180000,1566932,118404,257947
532200,175853,40000,1580586,137918,118958
532200,175853,60000,1578810,137981,138826
532200,175853,80000,1577033,138045,158695
532200,175853,100000,1575256,138108,178563
532200,175853,120000,1573480,138171,198432
532200,175853,140000,1571703,138234,218300
532200,175853,160000,1569927,138297,238169
532200,175853,180000,1568150,138360,258037
532200,195853,40000,1581804,157875,119048
532200,195853,60000,1580027,157938,138916
532200,195853,80000,1578251,158001,158785
532200,195853,100000,1576474,158064,178653
532200,195853,120000,1574697,158128,198522
532200,195853,140000,1572921,158191,218390
532200,195853,160000,1571144,158254,238259
532200,195853,180000,1569367,158317,258127
532200,215853,40000,1583022,177832,119138
532200,215853,60000,1581245,177895,139006
532200,215853,80000,1579468,177958,158875
532200,215853,100000,1577692,178021,178743
532200,215853,120000,1575915,178084,198612
532200,215853,140000,1574138,178148,218480
532200,215853,160000,1572362,178211,238349
532200,215853,180000,1570585,178274,258217
532200,235853,60000,1582463,197852,139096
532200,235853,80000,1580686,197915,158965
532200,235853,100000,1578909,197978,178833
532200,235853,120000,1577133,198041,198702
532200,235853,140000,1575356,198104,218570
532200,235853,240000,1566473,198420,317913
532200,235853,260000,1564696,198483,337781
532200,295853,60000,1586115,257722,139367
532200,295853,80000,1584338,257785,159235
532200,295853,100000,1582562,257848,179104
532200,295853,120000,1580785,257911,198972
532200,295853,140000,1579009,257974,218841
532200,295853,160000,1577232,258038,238709
532200,295853,180000,1575455,258101,258578
532200,295853,200000,1573679,258164,278446
532200,295853,220000,1571902,258227,298315
532200,295853,240000,1570125,258290,318183
532200,315853,60000,1587333,277678,139457
532200,315853,80000,1585556,277742,159325
532200,315853,100000,1583779,277805,179194
532200,315853,120000,1582003,277868,199062
532200,315853,140000,1580226,277931,218931
532200,315853,160000,1578450,277994,238799
532200,315853,180000,1576673,278057,258668
532200,315853,200000,1574896,278121,278536
532200,315853,220000,1573119,278184,298405
532200,315853,240000,1571343,278247,318273
532200,315853,260000,1569566,278310,338142
532200,335853,60000,1588550,297635,139547
532200,335853,80000,1586774,297698,159415
532200,335853,100000,1584997,297761,179284
532200,335853,120000,1583220,297825,199152
532200,335853,140000,1581444,297888,219021
532200,335853,160000,1579667,297951,238890
532200,335853,180000,1577890,298014,258758
532200,335853,200000,1576114,298077,278627
532200,335853,220000,1574337,298140,298495
532200,335853,240000,1572560,298204,318364
532200,335853,260000,1570784,298267,338232
532200,355853,40000,1591545,317529,119769
532200,355853,100000,1586215,317718,179374
532200,355853,120000,1584438,317781,199243
532200,355853,140000,1582661,317844,219111
532200,355853,160000,1580885,317908,238980
532200,355853,180000,1579108,317971,258848
532200,355853,200000,1577331,318034,278717
532200,355853,220000,1575555,318097,298585
552200,75853,140000,1585441,37035,220797
552200,95853,60000,1593765,56739,141413
552200,95853,80000,1591988,56802,161281
552200,95853,100000,1590212,56865,181150
552200,95853,120000,1588435,56928,201019
552200,95853,140000,1586658,56991,220887
552200,95853,160000,1584881,57054,240755
552200,115853,40000,1596759,76632,121635
552200,115853,60000,1594982,76695,141503
552200,115853,80000,1593206,76758,161372
552200,115853,100000,1591429,76822,181240
552200,115853,120000,1589652,76885,201109
552200,115853,140000,1587876,76948,220977
552200,115853,160000,1586099,77011,240846
552200,135853,40000,1597977,96589,121725
552200,135853,60000,1596200,96652,141593
552200,135853,80000,1594423,96715,161462
552200,135853,100000,1592647,96778,181330
552200,135853,120000,1590870,96841,201199
552200,135853,140000,1589093,96905,221067
552200,135853,160000,1587317,96968,240936
552200,135853,180000,1585540,97031,260804
552200,155853,20000,1600971,116482,101946
552200,155853,40000,1599194,116545,121815
552200,155853,60000,1597417,116609,141683
552200,155853,80000,1595641,116672,161552
552200,155853,100000,1593864,116735,181420
552200,155853,120000,1592088,116798,201289
552200,155853,140000,1590311,116861,221157
552200,155853,160000,1588534,116925,241026
552200,155853,180000,1586758,116988,260894
552200,175853,20000,1602188,136439,102036
552200,175853,40000,1600412,136502,121905
552200,175853,60000,1598635,136565,141773
552200,175853,80000,1596858,136629,161642
552200,175853,100000,1595082,136692,181510
552200,175853,120000,1593305,136755,201379
552200,175853,140000,1591528,136818,221247
552200,175853,160000,1589752,136881,241116
552200,175853,180000,1587975,136944,260984
552200,195853,20000,1603406,156396,102126
552200,195853,40000,1601629,156459,121995
552200,195853,60000,1599853,156522,141864
552200,195853,80000,1598076,156585,161732
552200,195853,100000,1596299,156648,181601
552200,195853,120000,1594523,156712,201469
552200,195853,140000,1592746,156775,221338
552200,195853,160000,1590969,156838,241206
552200,195853,180000,1589193,156901,261075
552200,195853,200000,1587416,156964,280943
552200,215853,20000,1604623,176352,102217
552200,215853,40000,1602847,176416,122085
552200,215853,60000,1601070,176479,141954
552200,215853,80000,1599294,176542,161822
552200,215853,100000,1597517,176605,181691
552200,215853,120000,1595740,176668,201559
552200,215853,140000,1593963,176731,221428
552200,215853,160000,1592187,176795,241296
552200,215853,180000,1590410,176858,261165
552200,215853,200000,1588634,176921,281033
552200,235853,20000,1605841,196309,102307
552200,235853,40000,1604064,196372,122175
552200,235853,60000,1602288,196435,142044
552200,235853,80000,1600511,196499,161912
552200,235853,100000,1598734,196562,181781
552200,235853,120000,1596958,196625,201649
552200,235853,140000,1595181,196688,221518
552200,235853,160000,1593404,196751,241386
552200,235853,180000,1591628,196815,261255
552200,255853,20000,1607059,216266,102397
552200,255853,40000,1605282,216329,122265
552200,255853,60000,1603505,216392,142134
552200,255853,80000,1601729,216455,162002
552200,255853,100000,1599952,216519,181871
552200,255853,120000,1598175,216582,201739
552200,255853,140000,1596399,216645,221608
552200,255853,160000,1594622,216708,241476
552200,255853,180000,1592845,216771,261345
552200,275853,20000,1608276,236223,102487
552200,275853,40000,1606499,236286,122355
552200,275853,60000,1604723,236349,142224
552200,275853,80000,1602946,236412,162092
552200,275853,100000,1601170,236475,181961
552200,275853,120000,1599393,236538,201829
552200,275853,140000,1597616,236602,221698
552200,275853,160000,1595840,236665,241567
552200,275853,180000,1594063,236728,261435
552200,295853,40000,1607717,256242,122446
552200,295853,60000,1605940,256306,142314
552200,295853,80000,1604164,256369,162183
552200,295853,100000,1602387,256432,182051
552200,295853,120000,1600610,256495,201920
552200,295853,140000,1598834,256558,221788
552200,295853,160000,1597057,256621,241657
552200,295853,180000,1595280,256685,261525
552200,295853,200000,1593504,256748,281394
552200,295853,220000,1591727,256811,301262
552200,315853,40000,1608935,276199,122536
552200,315853,60000,1607158,276262,142404
552200,315853,80000,1605381,276326,162273
552200,315853,100000,1603605,276389,182141
552200,315853,120000,1601828,276452,202010
552200,315853,140000,1600051,276515,221878
552200,315853,160000,1598275,276578,241747
552200,315853,180000,1596498,276641,261615
552200,315853,200000,1594721,276705,281484
552200,315853,220000,1592945,276768,301352
552200,315853,240000,1591168,276831,321221
552200,335853,60000,1608376,296219,142494
552200,335853,80000,1606599,296282,162363
552200,335853,100000,1604822,296345,182231
552200,335853,120000,1603046,296409,202100
552200,335853,140000,1601269,296472,221968
552200,335853,160000,1599492,296535,241837
552200,335853,180000,1597716,296598,261705
552200,335853,200000,1595939,296661,281574
552200,335853,220000,1594162,296724,301442
552200,355853,40000,1611370,316113,122716
552200,355853,80000,1607816,316239,162453
552200,355853,100000,1606040,316302,182321
552200,355853,120000,1604263,316365,202190
552200,355853,140000,1602486,316428,222058
552200,355853,160000,1600710,316492,241927
552200,355853,180000,1598933,316555,261795
552200,355853,200000,1597157,316618,281664
552200,355853,220000,1595380,316681,301532
572200,95853,80000,1611813,55386,164229
572200,95853,100000,1610037,55449,184097
572200,95853,120000,1608260,55512,203966
572200,95853,140000,1606483,55575,223834
572200,115853,40000,1616584,75216,124582
572200,115853,60000,1614808,75279,144450
572200,115853,80000,1613031,75342,164319
572200,115853,100000,1611254,75406,184187
572200,115853,120000,1609478,75469,204056
572200,115853,140000,1607701,75532,223924
572200,115853,160000,1605924,75595,243793
572200,135853,40000,1617802,95173,124672
572200,135853,60000,1616025,95236,144541
572200,135853,80000,1614248,95299,164409
572200,135853,100000,1612472,95362,184278
572200,135853,120000,1610695,95425,204146
572200,135853,140000,1608919,95489,224015
572200,135853,160000,1607142,95552,243883
572200,135853,180000,1605365,95615,263752
572200,155853,20000,1620796,115066,104894
572200,155853,40000,1619019,115129,124762
572200,155853,60000,1617243,115193,144631
572200,155853,80000,1615466,115256,164499
572200,155853,100000,1613689,115319,184368
572200,155853,120000,1611913,115382,204236
572200,155853,140000,1610136,115445,224105
572200,155853,160000,1608359,115508,243973
572200,155853,180000,1606583,115572,263842
572200,155853,200000,1604806,115635,283710
572200,175853,20000,1622014,135023,104984
572200,175853,40000,1620237,135086,124852
572200,175853,60000,1618460,135149,144721
572200,175853,80000,1616684,135213,164589
572200,175853,100000,1614907,135276,184458
572200,175853,120000,1613130,135339,204326
572200,175853,140000,1611354,135402,224195
572200,175853,160000,1609577,135465,244063
572200,175853,180000,1607800,135528,263932
572200,175853,200000,1606024,135592,283800
572200,195853,20000,1623231,154980,105074
572200,195853,40000,1621455,155043,124942
572200,195853,60000,1619678,155106,144811
572200,195853,80000,1617901,155169,164679
572200,195853,100000,1616124,155232,184548
572200,195853,120000,1614348,155296,204416
572200,195853,140000,1612571,155359,224285
572200,195853,160000,1610795,155422,244153
572200,195853,180000,1609018,155485,264022
572200,195853,200000,1607241,155548,283890
572200,215853,20000,1624449,174936,105164
572200,215853,40000,1622672,175000,125032
572200,215853,60000,1620895,175063,144901
572200,215853,80000,1619119,175126,164769
572200,215853,100000,1617342,175189,184638
572200,215853,120000,1615565,175252,204506
572200,215853,140000,1613789,175315,224375
572200,215853,160000,1612012,175379,244244
572200,215853,180000,1610235,175442,264112
572200,215853,200000,1608459,175505,283981
572200,235853,20000,1625666,194893,105254
572200,235853,40000,1623890,194956,125123
572200,235853,60000,1622113,195019,144991
572200,235853,80000,1620336,195083,164860
572200,235853,100000,1618560,195146,184728
572200,235853,120000,1616783,195209,204597
572200,235853,140000,1615006,195272,224465
572200,235853,160000,1613230,195335,244334
572200,235853,180000,1611453,195398,264202
572200,235853,200000,1609676,195462,284071
572200,255853,20000,1626884,214850,105344
572200,255853,40000,1625107,214913,125213
572200,255853,60000,1623331,214976,145081
572200,255853,80000,1621554,215039,164950
572200,255853,100000,1619777,215103,184818
572200,255853,120000,1618001,215166,204687
572200,255853,140000,1616224,215229,224555
572200,255853,160000,1614447,215292,244424
572200,255853,180000,1612671,215355,264292
572200,255853,200000,1610894,215418,284161
572200,275853,20000,1628101,234807,105434
572200,275853,40000,1626325,234870,125303
572200,275853,60000,1624548,234933,145171
572200,275853,80000,1622771,234996,165040
572200,275853,100000,1620995,235059,184908
572200,275853,120000,1619218,235122,204777
572200,275853,140000,1617441,235186,224645
572200,275853,160000,1615665,235249,244514
572200,275853,180000,1613888,235312,264382
572200,275853,200000,1612111,235375,284251
572200,295853,20000,1629319,254763,105524
572200,295853,40000,1627542,254826,125393
572200,295853,60000,1625766,254890,145261
572200,295853,80000,1623989,254953,165130
572200,295853,100000,1622212,255016,184998
572200,295853,120000,1620436,255079,204867
572200,295853,140000,1618659,255142,224735
572200,295853,160000,1616882,255205,244604
572200,295853,180000,1615106,255269,264472
572200,295853,200000,1613329,255332,284341
572200,315853,40000,1628760,274783,125483
572200,315853,60000,1626983,274846,145351
572200,315853,80000,1625206,274909,165220
572200,315853,100000,1623430,274973,185089
572200,315853,120000,1621653,275036,204957
572200,315853,140000,1619877,275099,224826
572200,315853,160000,1618100,275162,244694
572200,315853,180000,1616323,275225,264563
572200,315853,200000,1614547,275288,284431
572200,315853,220000,1612770,275352,304300
572200,335853,40000,1629977,294740,125573
572200,335853,60000,1628201,294803,145442
572200,335853,80000,1626424,294866,165310
572200,335853,100000,1624647,294929,185179
572200,335853,120000,1622871,294993,205047
572200,335853,140000,1621094,295056,224916
572200,335853,160000,1619318,295119,244784
572200,335853,180000,1617541,295182,264653
572200,335853,200000,1615764,295245,284521
572200,355853,40000,1631195,314697,125663
572200,355853,80000,1627642,314823,165400
572200,355853,100000,1625865,314886,185269
572200,355853,120000,1624088,314949,205137
572200,355853,140000,1622312,315012,225006
572200,355853,160000,1620535,315076,244874
572200,355853,180000,1618758,315139,264743
572200,355853,200000,1616982,315202,284611
