mcns_x,mcns_y,mcns_z,mcns_plot_x,mcns_plot_y,mcns_plot_z
547344.0,350113.56,261097.08,541985.5,356472.31,261097.08
304472.0,115451.27,125993.78,308788.31,112193.27,125993.78
159904.0,122476.12,249903.12,164054.58,113374.11,249903.12
385960.0,171951.02,272193.84,387928.16,171937.75,272193.84
462481.03,191601.62,230161.08,463593.16,194662.59,230161.08
390361.03,343646.56,279709.16,385391.75,343670.97,279709.16
453282.06,172273.64,170745.05,455182.25,174978.88,170745.05
622386.06,165070.14,296535.5,624439.19,174610.39,296535.5
96714.58,284961.59,337212.53,94354.84,273175.16,337212.53
344187.09,166962.25,234609.7,346390.78,165266.09,234609.7
384179.09,97506.94,129905.94,389155.06,97482.48,129905.94
445052.12,155753.48,175903.97,447626.19,158139.83,175903.97
284756.12,86662.69,156474.0,290251.12,82631.97,156474.0
84807.87,355902.06,284367.66,79592.97,343576.91,284367.66
176797.16,209361.23,197001.69,177425.14,200870.55,197001.69
326277.16,235695.48,308089.38,325719.69,233219.97,308089.38
392294.19,150726.31,242904.2,395114.31,150986.17,242904.2
310678.19,298888.34,242284.05,307581.44,295731.31,242284.05
251486.7,102803.99,268254.88,256357.0,97416.54,268254.88
484151.22,250265.12,292044.91,482876.59,254153.36,292044.91
285640.25,151456.3,241677.67,288517.88,147408.41,241677.67
101807.73,343914.84,332152.22,97063.03,332286.0,332152.22
400024.25,325974.22,141464.55,395760.78,326403.25,141464.55
437800.25,304630.16,211849.61,434367.94,306602.19,211849.61
468481.28,276479.72,165950.95,466160.78,279713.75,165950.95
154649.28,242287.59,265324.25,153965.64,232875.62,265324.25
305377.28,344998.81,210645.25,300422.75,341590.09,210645.25
382234.31,176767.89,179449.31,384010.97,176600.23,179449.31
259090.83,209164.66,269292.94,259659.62,203997.52,269292.94
568890.31,314933.59,203471.53,564935.0,322191.19,203471.53
175347.34,396502.62,246170.22,168418.94,387800.75,246170.22
175300.38,290821.5,285206.09,172639.88,282203.94,285206.09
255436.89,197028.47,134054.62,256498.78,191723.67,134054.62
93596.38,224446.61,237953.19,93683.03,212583.61,237953.19
479365.41,183799.56,114550.94,480778.84,187548.75,114550.94
345085.41,221670.3,153114.61,345079.0,219965.78,153114.61
169374.44,250400.77,186706.11,168351.12,241576.84,186706.11
99854.44,189491.89,322498.81,101347.59,177910.14,322498.81
408550.44,232268.95,232460.95,408064.25,233118.78,232460.95
269495.47,234144.41,284155.41,269047.0,229377.06,284155.41
476183.47,77357.69,156174.06,481898.06,81065.22,156174.06
601928.5,312470.38,264762.56,598045.62,321064.22,264762.56
387136.5,98816.14,173154.17,392057.16,98910.06,173154.17
615896.5,147444.19,295270.78,618666.69,156736.73,295270.78
123269.27,132969.08,292641.81,127025.98,122379.04,292641.81
472393.53,300909.75,181915.98,469083.25,304281.81,181915.98
567474.56,266876.84,205007.62,565461.12,274116.47,205007.62
559194.56,264794.16,330681.91,557272.0,271701.09,330681.91
377234.56,369398.97,240016.02,371236.03,368872.22,240016.02
333195.59,159365.88,160790.09,335715.0,157232.03,160790.09
279107.59,199622.0,240301.58,280045.44,195271.0,240301.58
198108.11,183139.55,247192.77,199777.67,175530.88,247192.77
292124.62,252208.42,139883.14,290928.16,248340.2,139883.14
671252.62,229665.94,318397.66,670657.25,241126.94,318397.66
529988.62,232721.89,261892.47,529385.06,238475.55,261892.47
334845.66,359896.66,187172.31,329265.44,357665.88,187172.31
589270.69,138349.16,249267.19,592429.94,146573.86,249267.19
645734.69,389435.34,284058.38,638707.88,399735.5,284058.38
232639.2,157250.94,176605.02,235326.09,151057.94,176605.02
629510.69,224967.66,322940.59,629139.06,234746.77,322940.59
423735.72,166764.94,165702.58,425882.47,168281.47,165702.58
316615.72,231104.09,202119.78,316251.56,228242.16,202119.78
275744.75,116616.91,280785.75,280037.44,112197.83,280785.75
154096.75,354644.75,220793.56,148876.08,345118.81,220793.56
431808.75,201870.95,143535.97,432531.16,203684.86,143535.97
423641.78,81600.84,230010.73,429227.91,83183.06,230010.73
103637.52,354721.56,332595.06,98454.91,343157.78,332595.06
296842.81,277372.5,289648.19,294626.28,273674.28,289648.19
466210.81,294223.94,175699.62,463175.59,297351.78,175699.62
351170.81,276649.81,139325.55,348939.12,275146.19,139325.55
331035.84,162108.89,241478.38,333446.25,159885.59,241478.38
422627.84,360381.16,215947.97,416956.44,361694.97,215947.97
374292.88,236967.44,259395.44,373644.91,236429.97,259395.44
602132.88,153411.48,276028.81,604673.31,162143.34,276028.81
59918.75,263131.59,264477.62,58470.59,249877.0,264477.62
265805.91,188908.75,263274.03,267187.25,184029.31,263274.03
141173.91,224990.14,197634.14,141199.8,215048.09,197634.14
216022.42,188392.86,257368.62,217465.19,181503.38,257368.62
233862.94,341819.47,281216.28,229095.14,335525.28,281216.28
225190.94,271612.66,242120.08,223265.47,265025.53,242120.08
330278.94,222072.91,212080.86,330268.38,219770.11,212080.86
195183.97,274474.5,312021.09,193167.39,266673.25,312021.09
377929.0,140017.91,237476.17,381193.28,139706.38,237476.17
453881.0,146909.98,168441.16,456804.97,149660.09,168441.16
526329.0,58280.2,193517.41,532773.12,64028.39,193517.41
351346.03,256622.75,121979.67,349923.0,255142.55,121979.67
191834.03,324678.09,264758.59,187792.75,316700.59,264758.59
157035.06,285337.62,329647.84,154610.94,275986.88,329647.84
428475.06,196146.06,174922.19,429431.41,197830.0,174922.19
147355.06,213323.75,331060.19,147847.06,203640.84,331060.19
231346.55,173142.08,146927.61,233392.72,166883.89,146927.61
393108.09,113135.89,181347.17,397445.59,113459.28,181347.17
422453.12,223804.58,273945.06,422297.41,225222.77,273945.06
607021.12,392346.5,290375.38,599908.38,401080.81,290375.38
609709.12,355436.44,208559.48,604084.75,364309.44,208559.48
573621.12,292025.94,206217.69,570587.0,299493.28,206217.69
78537.9,332327.62,268110.25,74280.16,319768.5,268110.25
472823.19,67434.54,247170.56,478941.25,71014.45,247170.56
360159.19,321816.47,121972.2,356096.16,320639.0,121972.2
585687.19,249027.81,186996.34,584379.75,257017.52,186996.34
417999.19,264365.5,273041.91,416209.06,265570.72,273041.91
472984.22,265039.75,157866.84,471122.06,268464.97,157866.84
395520.22,158756.5,120368.71,398013.41,159140.09,120368.71
303121.25,153955.08,166199.59,305883.72,150611.12,166199.59
330641.25,172507.52,266467.91,332632.03,170259.78,266467.91
272353.25,145104.41,281137.03,275498.25,140525.12,281137.03
454442.28,145403.84,164986.05,457426.62,148177.84,164986.05
670147.31,345269.47,311966.28,664884.25,356591.53,311966.28
517515.31,270505.09,231267.08,515396.06,275724.19,231267.08
297571.31,278544.78,162971.44,295306.84,274875.03,162971.44
438467.31,206506.89,142618.48,438997.09,208585.91,142618.48
306820.34,72394.02,158103.09,312873.56,69265.98,158103.09
379324.34,246200.28,225068.05,378299.38,245858.47,225068.05
638453.38,350863.03,321717.19,632990.25,360900.56,321717.19
430925.38,187550.55,190688.0,432226.84,189340.47,190688.0
607821.38,226316.2,177988.61,607413.06,235218.3,177988.61
315830.41,269004.97,164877.39,313936.28,266080.41,164877.39
