x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
0.0,0.0,139616.4383561644,142398.0,0.0,139616.4383561644
2755.1547861507124,7614.190999999999,48865.75342465753,139642.8452138493,7614.190999999999,48865.75342465753
4785.268839103868,36313.834,161057.53424657535,137612.73116089613,36313.834,161057.53424657535
6670.374745417516,68820.5725,67315.06849315068,135727.6252545825,68820.5725,67315.06849315068
8555.48065173116,23428.280000000002,106208.21917808219,133842.51934826883,23428.280000000002,106208.21917808219
10295.578411405293,84048.95449999999,5484.931506849315,132102.4215885947,84048.95449999999,5484.931506849315
12180.68431771894,14349.821499999998,105709.5890410959,130217.31568228106,14349.821499999998,105709.5890410959
13920.782077393073,107770.088,84268.49315068494,128477.21792260693,107770.088,84268.49315068494
15660.879837067208,147891.01750000002,105709.5890410959,126737.12016293278,147891.01750000002,105709.5890410959
17690.993890020363,60913.52799999999,165545.20547945204,124707.00610997964,60913.52799999999,165545.20547945204
19866.116089613035,61206.381499999996,16454.794520547945,122531.88391038697,61206.381499999996,16454.794520547945
22186.246435845213,136469.731,22438.356164383564,120211.75356415479,136469.731,22438.356164383564
24796.393075356413,133248.34249999997,15457.534246575342,117601.6069246436,133248.34249999997,15457.534246575342
27261.531568228103,114505.71849999999,120668.49315068494,115136.4684317719,114505.71849999999,120668.49315068494
29871.678207739304,59449.260500000004,153578.08219178082,112526.3217922607,59449.260500000004,153578.08219178082
32481.824847250507,87563.19649999998,26427.397260273974,109916.17515274949,87563.19649999998,26427.397260273974
35091.97148676171,142326.80099999998,60832.87671232877,107306.0285132383,142326.80099999998,60832.87671232877
37122.08553971487,273525.16899999994,108701.3698630137,105275.91446028513,273525.16899999994,108701.3698630137
38572.16700610998,171612.151,107704.1095890411,103825.83299389001,171612.151,107704.1095890411
40022.24847250508,103377.28549999998,26427.397260273974,102375.75152749493,103377.28549999998,26427.397260273974
41327.32179226069,142912.50799999997,30915.068493150684,101070.67820773931,142912.50799999997,30915.068493150684
42632.39511201629,110991.4765,123660.27397260274,99765.6048879837,110991.4765,123660.27397260274
43792.46028513238,383638.08499999996,161057.53424657535,98605.53971486763,383638.08499999996,161057.53424657535
45097.533604887976,187426.24000000002,97232.87671232877,97300.46639511202,187426.24000000002,97232.87671232877
46402.60692464358,36899.541,10471.232876712329,95995.39307535642,36899.541,10471.232876712329
47562.67209775966,444258.7594999999,126652.05479452055,94835.32790224033,444258.7594999999,126652.05479452055
