x_fanc,y_fanc,z_fanc,x_manc,y_manc,z_manc
20000,420000,100000,66173,255562,463313
20000,420000,120000,62828,280142,456374
20000,440000,80000,68850,226628,451636
20000,440000,100000,63761,250734,445125
20000,440000,120000,60440,276049,436548
20000,440000,140000,58442,297815,429704
20000,460000,80000,69262,222803,433161
20000,460000,100000,65481,246999,424788
20000,460000,120000,60563,268712,418227
20000,460000,140000,59154,290926,410322
20000,480000,80000,71642,220933,413475
20000,480000,100000,67479,242985,403155
20000,480000,120000,65944,264411,396446
20000,480000,140000,63124,285535,389843
20000,580000,80000,84269,212838,318000
20000,580000,100000,82887,234713,312474
20000,580000,120000,80364,253102,303576
20000,600000,60000,83729,183715,306940
20000,600000,80000,84429,204239,299527
20000,600000,100000,82382,226657,291546
20000,600000,120000,77273,246418,283681
20000,600000,140000,76450,264715,277324
20000,620000,80000,83558,195487,281501
20000,620000,100000,82288,216965,270826
20000,620000,120000,78122,237767,263420
20000,620000,140000,75634,258146,257465
20000,640000,80000,81152,187690,265364
20000,640000,100000,81459,209816,253752
20000,640000,120000,78389,229511,244215
40000,400000,80000,86694,239697,488236
40000,400000,100000,83207,261263,482515
40000,400000,120000,80440,285526,475969
40000,400000,140000,77866,307580,468359
40000,420000,60000,89528,211328,474578
40000,420000,80000,84336,232409,469199
40000,420000,100000,79905,255614,462583
40000,420000,120000,75981,281391,455239
40000,420000,140000,72954,304347,448288
40000,420000,160000,73190,325577,442502
40000,440000,60000,88891,206162,455778
40000,440000,80000,84275,227606,449001
40000,440000,100000,76292,251192,444646
40000,440000,120000,72784,276273,435182
40000,440000,140000,69817,298345,427663
40000,440000,160000,70081,318818,421575
40000,460000,60000,89171,202620,436715
40000,460000,80000,83110,224226,432069
40000,460000,100000,79138,246381,425214
40000,460000,120000,74394,268431,416261
40000,460000,140000,73419,289854,406438
40000,460000,160000,72298,312799,400449
40000,480000,60000,90725,198802,418993
40000,480000,80000,86383,223284,413342
40000,480000,100000,81216,243461,400308
40000,480000,120000,80321,264912,392647
40000,480000,140000,77258,284452,385724
40000,480000,160000,76010,306243,380759
40000,500000,80000,92585,225483,387465
40000,500000,100000,90369,245479,379153
40000,500000,120000,85687,263212,373766
40000,500000,140000,81996,282581,365872
40000,520000,80000,99389,229743,362252
40000,520000,100000,94437,246328,360603
40000,540000,60000,98457,200055,358409
40000,540000,80000,98460,225620,347902
40000,540000,100000,97547,243326,344048
40000,560000,60000,97655,197347,340154
40000,560000,80000,97650,221762,332558
40000,560000,100000,95787,242148,327387
40000,560000,120000,93908,256295,320219
40000,580000,60000,97885,192892,321655
40000,580000,80000,96148,214504,316771
40000,580000,100000,95017,239429,310759
40000,580000,120000,93698,255449,301748
40000,580000,140000,92528,271410,293818
40000,600000,60000,98390,184576,305851
40000,600000,80000,97291,204697,297638
40000,600000,100000,96761,228634,287327
40000,600000,120000,91457,247993,279682
40000,600000,140000,92034,266770,273503
40000,600000,160000,92955,284455,267452
40000,620000,60000,97336,175728,290469
40000,620000,80000,96219,195611,279418
40000,620000,100000,97284,217176,266681
40000,620000,120000,94119,238096,258969
40000,620000,140000,92494,259653,251915
40000,620000,160000,92927,278707,247672
40000,640000,60000,97127,168398,275111
40000,640000,80000,95790,187577,264064
40000,640000,100000,96545,209932,249329
40000,640000,120000,93430,228860,238855
40000,640000,140000,90392,252413,231612
40000,640000,160000,90571,273931,228778
40000,660000,80000,95463,180633,249519
40000,660000,100000,92621,200359,236182
40000,660000,120000,90924,221743,224810
40000,660000,140000,89600,245400,215760
40000,680000,120000,88758,211321,211260
60000,380000,80000,105134,248102,504555
60000,380000,100000,101733,271035,500198
60000,380000,120000,99176,293398,494874
60000,400000,60000,106228,219421,491256
60000,400000,80000,102064,241515,487900
60000,400000,100000,98083,263278,482916
60000,400000,120000,95058,289061,476379
60000,400000,140000,93906,308315,465146
60000,420000,60000,104551,212994,473544
60000,420000,80000,99647,232637,469867
60000,420000,100000,93492,256007,463710
60000,420000,120000,90650,281267,454923
60000,420000,140000,86914,307243,445846
60000,420000,160000,87662,326301,439568
60000,440000,60000,104247,207174,455049
60000,440000,80000,98651,227263,449779
60000,440000,100000,94175,252361,442665
60000,440000,120000,89869,274213,434697
60000,440000,140000,84960,297626,427339
60000,440000,160000,82399,318640,419554
60000,460000,60000,104398,202832,435942
60000,460000,80000,99566,225412,431516
60000,460000,100000,96480,247089,425063
60000,460000,120000,91024,267022,416398
60000,460000,140000,88953,289671,405245
60000,460000,160000,86113,312675,397281
60000,460000,180000,90182,332824,394403
60000,480000,60000,106088,199007,418418
60000,480000,80000,103678,222286,410762
60000,480000,100000,98684,244479,403409
60000,480000,120000,94748,265666,392773
60000,480000,140000,91508,285265,383683
60000,480000,160000,90651,306243,376173
60000,500000,60000,108608,199837,397671
60000,500000,80000,107821,225424,386692
60000,500000,100000,103679,246044,379578
60000,500000,120000,99996,265174,373843
60000,500000,140000,97396,283748,363828
60000,500000,160000,96780,304081,359298
60000,520000,40000,112555,169824,387839
60000,520000,60000,111301,200785,379732
60000,520000,80000,112408,231999,363478
60000,520000,100000,105849,250233,360775
60000,520000,120000,103758,264939,357166
60000,540000,40000,112958,167961,369487
60000,540000,60000,112596,198270,361058
60000,540000,80000,111716,226107,348449
60000,540000,100000,109419,245525,344744
60000,540000,120000,108790,261231,337442
60000,560000,40000,112879,164966,350065
60000,560000,60000,110782,194837,341985
60000,560000,80000,109509,219542,333742
60000,560000,100000,107341,243911,325344
60000,560000,120000,105767,259243,318790
60000,560000,140000,106625,276813,310646
60000,580000,40000,111775,160421,332300
60000,580000,60000,111456,194045,323088
60000,580000,80000,109563,214635,316160
60000,580000,100000,108889,237287,306792
60000,580000,120000,106708,256055,298394
60000,580000,140000,106999,273959,291976
60000,580000,160000,109485,289580,284660
60000,600000,40000,111382,157482,315118
60000,600000,60000,111350,182747,306755
60000,600000,80000,111464,206156,296931
60000,600000,100000,111208,228773,285502
60000,600000,120000,108815,248329,277523
60000,600000,140000,109058,267274,270935
60000,600000,160000,110641,285541,264379
60000,600000,180000,112187,301466,261178
60000,620000,40000,111751,150759,299582
60000,620000,60000,112052,175918,291864
60000,620000,80000,111150,196838,278963
60000,620000,100000,112323,219539,266930
60000,620000,120000,111405,237643,257516
60000,620000,140000,109555,259387,248362
60000,620000,160000,111421,280334,243624
60000,620000,180000,112425,297615,243108
60000,640000,60000,111765,169456,276891
60000,640000,80000,110179,188951,264387
60000,640000,100000,110600,209116,248764
60000,640000,120000,110134,230428,238772
60000,640000,140000,108916,251979,227279
60000,640000,160000,108818,273872,223410
60000,640000,180000,108996,295194,224633
60000,660000,60000,112266,159475,261640
60000,660000,80000,110971,181253,250076
60000,660000,100000,108363,199705,234774
60000,660000,120000,105412,220794,221859
60000,660000,140000,104884,244963,209576
60000,660000,160000,105521,268469,208175
60000,680000,80000,110422,169742,236199
60000,680000,100000,107497,190064,223441
60000,680000,120000,103851,210687,208864
60000,680000,140000,102773,235892,197299
60000,760000,80000,96770,118794,170849
60000,780000,60000,97676,92554,157691
60000,780000,80000,95718,114639,153296
60000,780000,100000,96323,140949,144802
60000,800000,60000,98989,90610,139599
60000,800000,80000,96420,112977,134528
60000,800000,100000,94266,139796,126556
60000,820000,80000,96187,111473,115946
60000,820000,100000,92405,137492,108571
80000,380000,80000,121450,250448,502345
80000,380000,100000,117496,273100,498485
80000,380000,120000,115299,296202,493804
80000,400000,60000,121892,222588,489495
80000,400000,80000,117945,244027,486502
80000,400000,100000,113764,268260,482661
80000,400000,120000,110703,293710,477621
80000,400000,140000,108973,312107,464995
80000,400000,160000,108052,329969,459898
80000,420000,60000,120036,216779,472370
80000,420000,80000,115437,235082,470595
80000,420000,100000,110769,261657,463275
80000,420000,120000,107829,282738,456227
80000,420000,140000,105258,306203,447491
80000,420000,160000,103048,323602,439945
80000,440000,40000,124815,188918,456912
80000,440000,60000,119842,209110,454255
80000,440000,80000,115805,229670,451146
80000,440000,100000,111572,254188,443973
80000,440000,120000,107753,274737,435949
80000,440000,140000,103978,297881,427085
80000,440000,160000,102007,317342,417936
80000,440000,180000,105541,333523,412460
80000,460000,40000,125474,183098,439696
80000,460000,60000,121757,203797,436016
80000,460000,80000,117056,225911,432980
80000,460000,100000,112879,248222,423995
80000,460000,120000,108699,269993,415074
80000,460000,140000,105610,290514,405323
80000,460000,160000,104710,313262,396070
80000,460000,180000,108497,333371,391599
80000,480000,40000,126438,178249,422694
80000,480000,60000,123766,201991,417662
80000,480000,80000,121680,221658,410651
80000,480000,100000,117868,244988,405421
80000,480000,120000,111189,268663,393958
80000,480000,140000,107619,286493,384518
80000,480000,160000,108677,308820,377168
80000,480000,180000,110635,328073,373492
80000,500000,40000,126669,174065,406481
80000,500000,60000,123744,200417,397841
80000,500000,80000,121964,221932,389810
80000,500000,100000,120737,247775,378755
80000,500000,120000,117278,271332,371215
80000,500000,140000,115194,287028,363646
80000,500000,160000,114383,305538,361709
80000,520000,20000,131368,144154,392702
80000,520000,40000,126374,169742,391173
80000,520000,60000,125068,198624,381843
80000,520000,80000,123307,224192,371184
80000,520000,100000,122713,252433,359566
80000,520000,120000,117770,270044,358847
80000,520000,140000,120763,285075,346120
80000,540000,20000,130761,139907,375583
80000,540000,40000,126746,165693,374537
80000,540000,60000,126480,194253,364481
80000,540000,80000,125726,222495,353700
80000,540000,100000,123730,244590,345689
80000,540000,120000,122585,264711,335840
80000,540000,140000,120892,283183,327267
80000,560000,20000,129763,136308,356781
80000,560000,40000,125898,162723,351066
80000,560000,60000,126964,187037,346398
80000,560000,80000,126732,216230,337232
80000,560000,100000,124741,238510,328374
80000,560000,120000,123890,260155,317451
80000,560000,140000,122607,278854,309283
80000,560000,160000,123333,295315,301711
80000,580000,20000,129086,132186,338886
80000,580000,40000,125315,154439,334514
80000,580000,60000,126359,183560,328669
80000,580000,80000,125757,212154,320988
80000,580000,100000,125128,233320,309354
80000,580000,120000,124087,255156,300255
80000,580000,140000,124235,274237,290451
80000,580000,160000,127377,290613,280900
80000,580000,180000,128703,306572,277173
80000,600000,20000,129330,128184,321960
80000,600000,40000,123822,153703,317488
80000,600000,60000,124683,180710,309123
80000,600000,80000,126412,205167,300784
80000,600000,100000,128216,227294,289723
80000,600000,120000,127400,247213,279246
80000,600000,140000,127806,267806,269907
80000,600000,160000,128918,287559,262891
80000,600000,180000,130228,305150,258760
80000,620000,40000,126215,149257,301020
80000,620000,60000,124939,173908,294881
80000,620000,80000,126399,196631,282148
80000,620000,100000,128080,219506,270418
80000,620000,120000,129587,237638,259855
80000,620000,140000,128766,258550,248872
80000,620000,160000,129309,281300,242809
80000,620000,180000,128671,301749,241014
80000,640000,60000,125587,169137,280151
80000,640000,80000,125289,190375,268050
80000,640000,100000,127014,210163,253169
80000,640000,120000,127831,230394,240955
80000,640000,140000,128828,250683,227785
80000,640000,160000,126779,275921,219910
80000,640000,180000,125255,298728,221731
80000,660000,60000,126367,157805,263518
80000,660000,80000,126441,180381,252146
80000,660000,100000,125211,198159,237948
80000,660000,120000,124084,222391,222219
80000,660000,140000,125516,244673,207773
80000,660000,160000,124891,269988,204124
80000,680000,80000,125657,169099,238081
80000,680000,100000,122717,188629,224721
80000,680000,120000,120015,212766,209045
80000,680000,140000,119026,236395,194221
80000,720000,60000,121587,119528,211750
80000,720000,80000,119265,144691,205515
80000,740000,60000,117274,106403,192502
80000,740000,80000,114816,126785,187954
80000,740000,100000,112653,151222,177713
80000,760000,40000,116229,77472,177016
80000,760000,60000,113546,95888,174664
80000,760000,80000,111097,115854,170794
