x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
715808,204819,291979,737056,187313,285659
715808,234819,261979,738172,217870,254815
715808,234819,291979,738247,217895,284638
715808,264819,261979,739296,248418,253414
715808,264819,291979,739641,248490,282843
715808,294819,261979,740549,278797,251704
715808,294819,291979,740817,278633,280961
715808,324819,261979,741667,308654,250079
715808,324819,291979,741765,308560,279386
685808,174819,261979,705906,157962,257661
685808,174819,291979,705985,157306,288115
685808,204819,261979,707219,188018,257260
685808,204819,291979,707454,187480,287476
685808,234819,231979,708425,219290,226040
685808,234819,261979,708474,218823,256286
685808,234819,291979,708739,218609,286098
685808,234819,321979,708944,218710,315193
685808,264819,231979,709597,249944,225082
685808,264819,261979,709579,249395,254984
685808,264819,291979,710147,249379,284238
685808,264819,321979,710249,249542,313186
685808,294819,231979,710883,280212,223645
685808,294819,261979,711099,279597,253037
685808,294819,291979,711573,279440,281891
685808,294819,321979,711492,279665,310903
685808,324819,231979,711983,309908,221532
685808,324819,261979,711852,309368,250589
685808,324819,291979,712187,309100,279593
685808,324819,321979,712217,309310,308691
685808,354819,261979,713034,338973,248911
685808,354819,291979,713255,338867,278014
655808,144819,231979,674530,129417,227221
655808,144819,261979,674637,129053,257879
655808,144819,291979,674431,128734,288301
655808,174819,231979,675710,159569,227403
655808,174819,261979,676016,158929,258123
655808,174819,291979,675881,158278,288888
655808,204819,231979,677182,190385,227082
655808,204819,261979,677622,189862,257666
655808,204819,291979,677606,189168,288089
655808,204819,321979,677431,189132,317304
655808,234819,231979,679098,221453,226737
655808,234819,261979,679217,221101,256753
655808,234819,291979,678561,220560,286477
655808,234819,321979,678579,220190,315775
655808,264819,201979,680179,252421,195655
655808,264819,231979,680342,252370,225946
655808,264819,261979,680013,251728,255779
655808,264819,291979,679534,250884,285050
655808,264819,321979,680007,250639,313985
655808,294819,231979,681057,282108,224701
655808,294819,261979,680911,281288,253940
655808,294819,291979,681309,280548,282480
655808,294819,321979,681664,280512,310993
655808,324819,231979,682094,310624,222540
655808,324819,261979,682042,309598,251172
